"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"go-l1OQIylZV1xeN3R2AAAAAA==","google","https://www.linkedin.com/jobs/view/client-delivery-technical-associate-bilingual-english-japanese-at-mufg-4221298687?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Client Delivery Technical Associate (Bilingual: English / Japanese)","MUFG","Tempe, AZ","2025-05-02","","description","yearly",106000.0,132000.0,"USD",True,"","","","","Do you want your voice heard and your actions to count?

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), one of the world’s leading financial groups. Across the globe, we’re 120,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.

With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.

Join MUFG, where being inspired is expected and making a meaningful impact is rewarded.

The selected colleague will work at an MUFG office or client sites four days per week and work remotely one day. A member of our recruitment team will provide more details.

Transaction Banking Product and Digital Channels teams are comprised of professional Product Managers, Business Analysts, Technical Support representatives, and Project Managers who develop and support online banking products to serve our customers’ banking needs. This is an entry level position for an ambitious candidate with 1-5 years’ customer service experience who enjoys working directly with software end-users and clients to ensure their successful use of digital banking applications. The candidate will provide technical support to clients while collaborating with internal teams who manage global banking channel solutions.

Major Responsibilities:
• Provides daily technical support to clients requiring assistance with global transaction banking channel products.
• Is a subject matter expert for digital solutions with ability to interpret, recreate, and troubleshoot client technical support requests.
• Adherence to policies and procedures with respect to sensitive client information used for problem solving and technical troubleshooting.
• Manage work queues that require email, telephone, and live conference call support.
• Collaborate with business partners and operations teams to resolve critical client issues.
• Monitor and record daily activities to achieve departmental key performance indicators and service metrics.

Requirements:
• Candidates must be bi-lingual, fluent in written and spoken Japanese and English languages with the ability to work flexible hours to align meeting times with non-U.S. based colleagues.
• Candidates should have Transaction Banking experience with the familiarity of online cash management and various host-to-host connectivity protocols including ISO 20022 payments and information reporting standards.
• This position requires a degree from a four-year college (e.g., B.A., B.S.) preferably with a science, technology, engineering or math background.
• Advanced degree or MBA are not required but would be advantageous.
• Must be a creative problem solver who is willing to work hard and learn.
• Strong organization and communication skills, including professional telephone and email etiquette are required.
• Ability to work independently and perform in a fast-paced environment.

The typical base pay range for this role is between $106K - $132K depending on job-related knowledge, skills, experience and location. This role may also be eligible for certain discretionary performance-based bonus and/or incentive compensation. Additionally, our Total Rewards program provides colleagues with a competitive benefits package (in accordance with the eligibility requirements and respective terms of each) that includes comprehensive health and wellness benefits, retirement plans, educational assistance and training programs, income replacement for qualified employees with disabilities, paid maternity and parental bonding leave, and paid vacation, sick days, and holidays. For more information on our Total Rewards package, please click the link below.

MUFG Benefits Summary

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws (including (i) the San Francisco Fair Chance Ordinance, (ii) the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance, (iii) the Los Angeles County Fair Chance Ordinance, and (iv) the California Fair Chance Act) to the extent that (a) an applicant is not subject to a statutory disqualification pursuant to Section 3(a)(39) of the Securities and Exchange Act of 1934 or Section 8a(2) or 8a(3) of the Commodity Exchange Act, and (b) they do not conflict with the background screening requirements of the Financial Industry Regulatory Authority (FINRA) and the National Futures Association (NFA). The major responsibilities listed above are the material job duties of this role for which the Company reasonably believes that criminal history may have a direct, adverse and negative relationship potentially resulting in the withdrawal of conditional offer of employment, if any.

The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.

We are proud to be an Equal Opportunity Employer and committed to leveraging the diverse backgrounds, perspectives and experience of our workforce to create opportunities for our colleagues and our business. We do not discriminate on the basis of race, color, national origin, religion, gender expression, gender identity, sex, age, ancestry, marital status, protected veteran and military status, disability, medical condition, sexual orientation, genetic information, or any other status of an individual or that individual’s associates or relatives that is protected under applicable federal, state, or local law.","","","","","","","","","","","","","",""
"go-n9VaMMDee2s3si3ZAAAAAA==","google","https://www.linkedin.com/jobs/view/database-developer-at-sandhills-global-4096527367?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Database Developer","Sandhills Global","Scottsdale, AZ","2025-05-01","","","","","","",False,"","","","","The Database Developer plays a key part in developing industry-leading solutions using latest technologies in MS SQL Server to design, develop, and maintain large-scale database projects. This is a position in a highly collaborative environment working with other skilled professionals to continuously improve database architecture and execution. Starting pay $74, 500. Salary based on experience
• In Office Position. 4.5 day regular work week. Ability to commute daily to local office is required.
• Excellent oral and written communication skills
• Able to work independently and communicate within a team environment
• Results oriented
• Flexible and open to change
• Stable and progressive work history
• Professional appearance and demeanor

Now offering a 4.5-day workweek!

Responsibilities
• Design and document logical and physical database models to cater to a variety of business requirements
• Adhere to best practices and standards in the areas of performance, security, and availability of databases
• Create, maintain, and execute SQL Server jobs
• Provide post-implementation support, including, but not limited to, monitoring application performance and debugging existing code
• Keep up with advancements and changes in technology and develop an understanding of how new technologies can be leveraged to provide business solutions
• Assume other database duties as assigned

Skills/Knowledge/Abilities Preferred
• 2+ years of proficient experience in design, development, and maintenance of database projects
• SQL Server (Scripting, Indices, Views, Stored Procedures)
• Ability to perform effectively in a team-oriented environment
• Ability to quickly learn new technologies and business functions
• Experience working in an Agile or iterative approach to delivery preferred
• Experience in cloud environments, preferably Azure is a plus
• Experience in SSIS development is a plus
• Experience in SSMS (SQL Server Management Studio) is a plus","","","","","","","","","","","","","",""
"go-xHJUqijNZUvbmR_rAAAAAA==","google","https://www.career.com/job/genesis10/dev10-entry-level-software-developer-nationwide/j202410080049254858684?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Dev10 Entry Level Software Developer – Nationwide","Genesis10","Phoenix, AZ","2025-04-29","","","","","","",False,"","","","","Please submit a formal application through our site: Dev10 Apply Here

We will not review any applications within this job posting. You must submit to our site.

This job posting is for a Dev10 position that requires you to agree to relocate anywhere in the United States.

Dev10 was created to provide an opportunity for those who want to break into the technology industry as a Software Developer but lack the skills or experience to get there on their own. We believe in the unlimited potential of people, and most importantly, the unlimited potential in YOU!
• Did you realize too late in your degree program that you wished you had pursued technology?
• Do you wish you could pivot into tech from your current job or career path?
• Did a friend or family member suggest tech might be a field for you but are unsure where to start or how you would break into it?

Here at Dev10, we are focused on your POTENTIAL, PASSION, and DESIRE TO LEARN regardless of your background or experience. Now hiring for our Data Engineer role starting Monday, December 2, 2024. The last day to apply is Friday, October 18, 2024.

If interested, please submit a formal application through our site: Dev10 Apply Here

We will not review any applications within this job posting. You must submit to our site.

What We Require
• Ability to relocate anywhere in the United States
• Bachelor's Degree in any discipline
• Ability to work in the United States without visa sponsorship now or at any point in the future

What We Look For
• Passion for learning & interest in learning technology skills
• Logic & reasoning skills
• Communication skills
• Teamwork & collaboration skills

What We Offer
• 3-4 months to focus on building the technical skills needed from the ground up (paid at $600/wk)
• Guidance from Senior Engineers who are passionate about sharing their expertise in an immersive training environment
• $2,500 relocation assistance
• 2 years of project experience with clients
• Hourly pay rate of $24.04 (equates to $50k annually) or $28.85 (equates to $60k annually) depending on assigned location
• Dev10 Mentor to help you navigate the corporate culture and support your success
• Benefits include health, vision, dental, 401k, paid time off

Interested in learning more about whether a career in technology could be a good fit for you? Let's explore this career path together!

Please submit a formal application through our site: Dev10 Apply Here

We will not review any applications within this job posting. You must submit to our site.

For more information on Dev10, check out our website at http://www.dev-10.com/

About Dev10:

Dev10 takes college graduates with the passion and aptitude to be entry-level software developers and provides hands-on training and client project experience all within a full-time paid position. No prior coding experience is required. Dev10 Associates work on exciting projects for Fortune 500 companies. To learn more about our roles within Dev10, please visit us at http://www.dev-10.com/ .","","","","","","","","","","","","","",""
"go-vXGXB_xv6rQZUpEQAAAAAA==","google","https://www.linkedin.com/jobs/view/principal-site-reliability-developer-u-s-citizenship-required-at-oracle-4160449964?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Principal Site Reliability Developer (U.S. Citizenship Required)","Oracle","Phoenix, AZ","2025-04-28","","description","hourly",41.0,85.0,"USD",False,"","","","accommodation-request_mb@oracle.com","Job Description

Oracle is looking for a Principal Site Reliability Developer with world-class experience in developing and supporting large-scale cloud deployments globally . The candidate should have expert-level knowledge and hands-on experience in administering Oracle Fusion Middleware technologies: WebLogic, SOA, BI, and OHS. Additionally, managing complex microservices architectures using service mesh technologies like Linkerd, alongside API gateways on Kubernetes, is essential. Strong proficiency in monitoring and visualization using Grafana to identify and troubleshoot performance issues within distributed systems is required. Experience with Oracle WebLogic Application, automation , and running the system in production at an operational level is essential . The position is part of the SaaS Reliability Engineering organization and provides a unique opportunity to work at the cutting edge of cloud technologies, tools, products, and cloud services. The candidate must be a U.S. Citizen and should be willing to work beyond regular business hours and during weekends/holidays on an as-needed basis. We are seeking highly skilled and dedicated Subject Matter Experts (SMEs) to join our team in supporting critical SaaS US Government Customer Environments.

Work Schedule & On-Call Requirements:
• We are a 7x24x365 organization and as such there is a need for supporting our customers through Weekend, Public Holidays etc.. As an SME, you will be required to work outside of normal business hours and participate in a team ROTA (on-call) schedule.
• On-call allowances will be provided in accordance with HR policies.

Compensation & Benefits:
• Competitive salary and benefits package, including on-call compensation as per company HR policies.
• Opportunities for career advancement and professional development in a dynamic and growing organization.

Organization: SaaS Engineering

The Oracle Cloud is a suite of Oracle applications, middleware and database offerings delivered in a self-service, subscription-based, elastically scalable, reliable, highly available and secure manner. The Oracle Cloud is an enterprise cloud for business. It is an integrated suite of services spanning Oracle's complete portfolio based on open Java and SQL standards offering flexible cloud deployment. The services offered in our cloud are based upon Oracle's complete portfolio of best-in-class solutions.

As part of SaaS Engineering, we consolidate and simplify IT operations and applications instances across hosted services in Oracle Cloud. We partner with engineering teams to develop product modules to be offered as a service. We collaborate with product quality assurance team to run test cases and to ensure high quality service after release of product versions. Our team works with the best of the class next generation Oracle Fusion technical-stack components such as Oracle Autonomous Database, Oracle WebLogic Server 12C/14C, Oracle Business Intelligence, Oracle Identity management, Oracle Virtual machine and Hybrid/Spectra Service. The team has excellent expertise in cutting-edge products and technologies like AI, ML, Oracle Fusion applications, hosting products as Software as a Service & Platform as a Service and supporting services in next generation Oracle Cloud Infrastructure.

Career Level - IC4

Responsibilities

We require individuals with strong abilities in the following areas:
• Bachelor's degree in Computer Science or Software Engineering (or equivalent)
• Experience in administering Oracle Fusion Middleware technologies - WebLogic , SOA, BI, OHS
• Experience in administering cloud application deployments using Kubernetes, Nginx, Prometheus, Grafana
• Experience in administering cloud platforms such as Oracle Cloud Infrastructure, AWS, Azure, Google Cloud Platform
• Automation experience using Terraform, Python, Shell, WLST
• Experience in designing and implementing solutions for platform and application layer telemetry, monitoring, scalability, performance, and reliability
• Analytical, problem-solving, and communication skills

Knowledge in the following technical areas would also be beneficial, although not essential, as full training will be provided in the relevant areas:
• Server hardware configuration and standard Internet services, such as DNS, HTTP, etc.
• Knowledge of Oracle Database, SQL, and PL/SQL
• OCI networking and administration
• Familiarity with Incident /Request and change management processes is a plus

Personal Skills:
• Strong interpersonal skills - able to communicate confidently (both written and verbal communication) with peers and management within technical and business teams
• Strong global teamwork skills
• Self-motivated and enthusiastic
• Ability to adapt to a changing environment
• Able to work under tight and changing deadlines
• Capable of prioritizing in a multi-tasking environment
• Most importantly, the aptitude to be a good team player and the willingness to learn and implement new Cloud technologies as needed
• A methodical approach to troubleshooting complex problems

Qualifications

Disclaimer:

Certain US customer or client-facing roles may be required to comply with applicable requirements, such as immunization and occupational health mandates.

Range and benefit information provided in this posting are specific to the stated locations only

US: Hiring Range in USD from $41.83 - $85.63 per hour; from: $87,000 - $178,100 per year. May be eligible for equity.

Oracle maintains broad salary ranges for its roles in order to account for variations in knowledge, skills, experience, market conditions and locations, as well as reflect Oracle’s differing products, industries and lines of business.

Candidates are typically placed into the range based on the preceding factors as well as internal peer equity.

Oracle US offers a comprehensive benefits package which includes the following:
• Medical, dental, and vision insurance, including expert medical opinion
• Short term disability and long term disability
• Life insurance and AD&D
• Supplemental life insurance (Employee/Spouse/Child)
• Health care and dependent care Flexible Spending Accounts
• Pre-tax commuter and parking benefits
• 401(k) Savings and Investment Plan with company match
• Paid time off: Flexible Vacation is provided to all eligible employees assigned to a salaried (non-overtime eligible) position. Accrued Vacation is provided to all other employees eligible for vacation benefits. For employees working at least 35 hours per week, the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment. Vacation accrual is prorated for employees working between 20 and 34 hours per week. Employees working fewer than 20 hours per week are not eligible for vacation.
• 11 paid holidays
• Paid sick leave: 72 hours of paid sick leave upon date of hire. Refreshes each calendar year. Unused balance will carry over each year up to a maximum cap of 112 hours.
• Paid parental leave
• Adoption assistance
• Employee Stock Purchase Plan
• Financial planning and group legal
• Voluntary benefits including auto, homeowner and pet insurance

The role will generally accept applications for at least three calendar days from the posting date or as long as the job remains posted.

About Us

As a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s challenges. We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.

We know that true innovation starts when everyone is empowered to contribute. That’s why we’re committed to growing an inclusive workforce that promotes opportunities for all.

Oracle careers open the door to global opportunities where work-life balance flourishes. We offer competitive benefits based on parity and consistency and support our people with flexible medical, life insurance, and retirement options. We also encourage employees to give back to their communities through our volunteer programs.

We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by emailing accommodation-request_mb@oracle.com or by calling +1 888 404 2494 in the United States.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.","","","","","","","","","","","","","",""
"go-5Im58HaUZG3gx_17AAAAAA==","google","https://www.linkedin.com/jobs/view/level-1-engineer-technical-services-at-medicus-it-4215171938?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Level 1 Engineer - Technical Services","Medicus IT","Chandler, AZ","2025-04-25","","","","","","",False,"","","","","Let me introduce you to Medicus IT, where we're not just an MSP (Managed Service Provider) – we're dedicated to healthcare. Our passion stems from the direct impact our work has on everyone's lives. Ever experienced frustration at a doctor's office because their systems were slow, delaying critical care? That's where we step in. We ensure patients receive the care they deserve by providing top-notch IT support to doctors, care centers, and health groups. As a Level One IT Support Specialist at Medicus IT, you'll serve as the initial point of contact for triaging and resolving incoming client or system-generated requests. Join us in making a real difference in healthcare while delivering world-class client experiences daily.

Role And Responsibilities
• Deliver an excellent customer experience in all interactions
• Troubleshoot and resolve basic desktop, software, network and server issues following published escalation guidelines to ensure issues are resolved in a timely manner
• Assist clients with the installation, configuration and ongoing usability of desktop computers, mobile devices, peripheral equipment and software
• Follow standard escalation process, involving senior resources in a timely manner where required
• Responsible for creating and maintaining high quality, detailed documentation 
• Work with vendor representatives to resolve software and hardware issues
• Install software, patches and updates on desktops, laptops and servers
• Perform complex virus detection and removal
• Notifies Client Success Managers when outdated equipment causes repeated issues 
• Resolve backup issues and perform restore testing
• Review security parameters with clients and make recommendations on changes according to Medicus IT’s standards and processes
• Actively assist Level Twos and Level Threes on projects (i.e. system migrations, virtual server configurations with high availability, server and firewall installations, VPN tunnel configuration, SAN setups, etc.)
• Configure and install firewalls, switches and other network equipment to best practice standards – must have 6 months experience minimum as a Level One at MIT before configuring network gear without supervision
• Take part in afterhours On Call rotation as needed – must have a minimum of 6 months experience at MIT and have supervisor approval before joining rotation.
• Perform on-site technical and customer service support, to include:
• Emergency/unscheduled repairs of clients’ on-site technical systems and equipment
• Performs scheduled maintenance and repairs of clients’ technical systems and equipment
• Network switch and server room cable management
• Works with senior resources to diagnose, troubleshoot, repair, and debug complex technical and computer systems, and software
• Follows standard procedures to isolate and fix problems in malfunctioning equipment or software.
• Performs routine cleanup of client network closets including labeling, removal of unneeded equipment, and updating of documentation
• Report design, reliability, and maintenance problems or bugs to appropriate technical support team
• Address complex problems where analysis of data requires the evaluation of identifiable factors.
• Exercise judgement within broadly defined practices and policies in selecting methods, techniques, and evaluation criteria for obtaining results
• Exhibit adaptability willingness to alter shifts and job requirements to meet client and MIT needs
• Comply with all safety requirements, including but not limited to: completing all required training, following all guidance provided in MIT policies, procedures, field guidelines, reporting requirements, and technical advisories. Demonstrates a pro-active approach toward safety, health, and quality in compliance with all Company, governmental and customer requirements
• Maintain tools and equipment properly and ensures that they are all in good working order
• Participate in all on-going product, equipment, technical and business-related training to maintain necessary certifications, skills, and professional knowledge
• Follow Medicus IT’s defined processes, policies, service delivery standards 
• All other duties assigned

Qualifications And Education Requirements
• Associate's degree in technology related field OR equivalent combination of education and work experience
• 2+ years of experience in supporting Microsoft Environments
• Preferred certifications: Network +, Security +
• Hands-on experience with Windows 2016/2012/2008 servers, Active Directory, Backup Technologies, Internet/DNS/E-mail/Communication issues
• Knowledge of VMWare, Citrix, VPN and Terminal Services
• Knowledge of VoIP, voicemail, analog, and vendor specific hardware/software
• MSP specific experience strongly desired
• Excellent problem solving and client relationship skills
• Excellent verbal and written communication skills
• Ability to learn and retain new technology skills and troubleshooting processes, team player, maintain calm and present yourself professionally in high stress situations.
• Alignment with Medicus IT’s core values of Doing the Right Thing, Taking Ownership and Delivering Results, Cultivating Positivity and Encouraging Improvement and Innovation","","","","","","","","","","","","","",""
"go-nDbeJhfJetBxhBymAAAAAA==","google","https://www.linkedin.com/jobs/view/aircraft-performance-engineer-1-at-garmin-4108592110?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Aircraft Performance Engineer 1","Garmin","Scottsdale, AZ","2025-04-22","","","","","","",False,"","","","","Overview

We are seeking a full-time Aircraft Performance Engineer 1 in our Olathe, KS, Chandler, AZ or Scottsdale, AZ location. In this role, you will be responsible for learning and applying knowledge of aircraft performance systems, operator policies, and regulatory requirements to develop and enhance aircraft performance calculation software to meet customer needs. Examples include computing takeoff and landing performance (vspeeds, distances required, climb gradients, etc.) based on available runway parameters, meteorological conditions, obstacle and terrain geometry and aircraft-specific performance data. Calculating time and fuel estimates utilizing lateral and vertical guidance for flight plans, and other aircraft performance related features.

Essential Functions
• Design, develop, test, and deploy aircraft performance systems
• Learn and utilize programming techniques to assist with solving small-to-mid-scale problems
• Work independently and with internal development teams to develop and test full system functionality
• Calculate, analyze, and document basic aircraft performance data
• Communicate aircraft performance related information to internal staff and customers
• Ability to plan, coordinate and schedule effectively
• Able to identify and resolve defects using proper engineering tools and techniques such as debuggers and simulators
• Work collaboratively and professionally in a team environment with other Garmin associates and aircraft manufacturers

Basic Qualifications
• Bachelor’s Degree in Aeronautical Engineering, Physics, Mathematics or related field OR an equivalent combination of education and experience
• Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
• Programming and scripting experience (FORTRAN, Python or a similar programming language)
• Strong and effective verbal, written and interpersonal communication skills
• Driven problem solver with exceptional technical troubleshooting, organizational and time management skills and demonstrated ability to resolve problems with minimal supervision

Desired Qualifications
• Experience with Aircraft Performance Data
• Experience in creating software that complies with aircraft performance regulations
• Experience in developing software for a Flight Management System (FMS)
• Experience with DO-178B/DO-178C certification
• FAA Private Pilot License
• Experience in working with Aviation Authorities (FAA/EASA)
• Experience with Airworthiness Standards (Part 23 and Part 25)

Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.

This position is eligible for Garmin's benefit program. Details can be found here: Garmin Benefits","","","","","","","","","","","","","",""
"go-PdBdYaRQKV5ekBULAAAAAA==","google","https://www.linkedin.com/jobs/view/software-engineer-at-epic-3986117169?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer","Epic","Peoria, AZ","2025-04-12","","","","","","",False,"","","","","Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.

Code that saves lives.

As a software developer at Epic, you’ll write software that impacts the lives of 300+ million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you’ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves. Learn more about our team at https://careers.epic.com/jobs/softwaredevelopment/.

Write software for the most innovative health systems on the planet.

The top-ranked health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.

Live affordably in a city known for its rising tech talent.

Epic is located just outside Madison, Wisconsin, the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), the fittest city in America (Fitbit), and the third best metro in the US for young professionals (Forbes Advisor).

More than just important work.

Our uniquely themed campus was designed to heighten your ability to get stuff done in your office, a conference room, or by the fireplace in a comfy chair. All meals are restaurant-quality but cost only a few dollars, and they’re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you’ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyoncé concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.

We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Healthcare is global, and building the best ideas from around the world into Epic software is a point of pride. As an Equal Opportunity Employer, we know that inclusive teams design software that supports the delivery of quality care for all patients, so diversity, equity, and inclusion are written into our principles. Please see our full non-discrimination statement at https://careers.epic.com/EEO.
• Relocation to the Madison, WI area (Reimbursed)
• BS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field
• A history of academic excellence or professional success
• Eligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)
• COVID-19 vaccination","","","","","","","","","","","","","",""
"go-0MZWaCKP8LWLqwq_AAAAAA==","google","https://www.linkedin.com/jobs/view/software-developer-code-%232024-19-at-celltrust-corporation-4199142738?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Developer, Code: #2024-19","CellTrust Corporation","Scottsdale, AZ","2025-04-03","","","","","","",False,"","","","celltrustjobs@outlook.com","SOFTWARE DEVELOPER, CODE: #2024-19

Responsibilities And Skills
• Provide expertise in software development for compliance tools for regulated industries, including financial, governmental, and healthcare organizations, to ensure compliance with applicable laws and regulations, including record retention.
• Responsible for requirements gathering, analysis, system design, software architecture, integrations, and the development of systems, applications, and web services.
• Requires knowledge of record retention laws and regulations, telecommunication regulations including TCPA, related state laws, A2P 10 DLC, and carrier best practices.
• Use skills/tools including MS SQL Server, MySQL, C#, SQL, C, C++, .NET, XML, Windows Forms, Ajax, and ASP.
• Requires US bachelor’s degree/foreign equivalent degree in Computer Science, Computer Engineering, or Information Technology.
• Requires legal authority to work in the U.S.

Full-time position: 40 Hours per week 8:00am-5:00pm, with hour lunch break

Location: Scottsdale, AZ

It is the policy of CellTrust not to discriminate against any applicant for employment or any employee on the basis of religion, race, color, national origin, age, gender, political or sexual orientation, military service, pregnancy, disability, or any other legally protected status. This policy applies to all phases of the employment process including recruiting, testing, hiring, promotion or demotion, transfer, layoff, and termination.

Contact: Please place reference number 2024-19 directly on the front of your resume and send to celltrustjobs@outlook.com. Address all aspects of the requirements cited for this position.","","","","","","","","","","","","","",""
"go-oYQ-jryy2RpTBUXmAAAAAA==","google","https://www.linkedin.com/jobs/view/microsoft-crm-admin-developer-code-%23ct145-at-celltrust-corporation-4199140937?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Microsoft CRM Admin/ Developer, Code: #CT145","CellTrust Corporation","Scottsdale, AZ","2025-04-03","fulltime, parttime","","","","","",False,"","","","","MS Dynamics CRM – Fulltime/part time Admin/Developer position for customization and maintenance of existing Microsoft Dynamics CRM 2011 Responsibilities include:
• Analyze organization’s processes and configure MS CRM using Customization Tool or SDK to meet requirements
• Automate tasks using workflows
• Administration of Users, Security Roles and Teams
• Update of Product catalogs
• Create new reports
• Apply updates and hotfixes

Preferred Qualifications
• Bachelor’s degree plus 2 years’ experience (Required)
• Knowledge of Microsoft .NET platform and CRM plugins a plus.

Email HR about this position .

Please attach resume.","","","","","","","","","","","","","",""
"go-Wqh8hPqYBy9iD734AAAAAA==","google","https://www.linkedin.com/jobs/view/capital-systems-services-quality-engineer-entry-level-at-millenniumsoft-inc-3992718010?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Capital Systems & Services Quality Engineer - Entry Level","MillenniumSoft Inc","Tempe, AZ","","contract","","","","","",False,"","","","","Position : Capital Systems & Services Quality Engineer - Entry Level

Location : Tempe, AZ

Duration : 3 Months

Total Hours/week : 40.00

1st Shift

Client: Medical Device Company

Job Category: Engineering

Level Of Experience: Entry Level

Employment Type: Contract on W2 (Need US Citizens Or GC Holders Only)

Job Description
• This position is an entry level engineering position within the Capital Systems & Services department.
• The engineer will be responsible for providing engineering and technical support to the Capital Systems & Services department regarding BDPI equipment service, repair, and complaint processes.
• (Per applicable standards, operating procedures, and work instructions.)

Summary Of Position With General Responsibilities
• Actively supports the Capital Systems & Services Department by supporting follow up process with customers and service centers helping to expedite return/repair process.
• Assist in processing no-sample return investigations, and closure of complaint/service records.

Essential Job Functions
• Review FMEA’s as needed.
• Review complaint failure coding as needed for trending analysis.
• Assist in review of double trigger complaint events
• Support active CAPA projects.
• Assist in writing complaint investigations based on the service center’s investigation, repair, and root cause analysis.
• Perform quality reviews following the complaint investigation write up. (QA process step.)
• Provide technical support for service related questions and equipment functionality for CS&S department.
• Assist in the reviewing and updating of CS&S documentation related to re-usable equipment service and complaint processes.
• Trains on, understands, and follows company procedures and regulatory requirements.

Basic Qualifications
• Effective communication skills, written and verbal
• Proficient in Microsoft Office Suite, Document Management (MasterControl), Enterprise (JDE/SAP), AS400 Active Contracts system, Trackwise Complaint Management System, and Trackwise CESC/ServiceMax service platforms
• Customer Service skills and ability to effectively communication with customers/service centers.
• Organizational skills.
• Computer-savvy skills.
• Technical writing skills.
• Basic interpersonal skills - active listening.
• Software application skills.
• Problem-solving / troubleshooting skills.
• Ability to work in cross-functional teams

Education And/or Experience
• Engineering Bachelor’s degree
• 2 years preferred experience
• Medical industry (GMP) experience preferred
• Proficient in MS Office (Excel preferred)

Minimum Educational Requirements
• Engineering Bachelor’s degree

Physical Demands
• While performing the duties of this job, the employee is regularly required to stand, walk, sit, and use hands to manipulate, handle or feel objects, tools, controls and office equipment.
• The employee frequently is required to talk and hear.
• The employee is occasionally required to reach with hands and arms and stoop, kneel or crouch.

Work Environment
• While performing the duties of this job, the employee may be in an open cubicle environment.
• Candidate must be able to work in a team-oriented, fast-paced environment.
• BDPI is an affirmative action, equal opportunity employer that values and actively seeks diversity in the workforce.","","","","","","","","","","","","","",""
